index,category,definition,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
41,animals,mouse,0.09,0.09,0.22,0.28,0.32,0.42,0.55,0.59,0.62,0.65,0.71,0.72,0.88,0.81,0.9
42,animals,owl,0.13,0.15,0.24,0.33,0.34,0.36,0.49,0.48,0.54,0.6,0.65,0.62,0.83,0.68,0.8
43,animals,penguin,0.02,0.03,0.09,0.13,0.14,0.25,0.27,0.35,0.37,0.4,0.43,0.45,0.67,0.6,0.7
44,animals,pig,0.16,0.2,0.37,0.5,0.47,0.49,0.65,0.75,0.77,0.82,0.82,0.8,0.95,0.92,0.95
45,animals,pony,0.03,0.02,0.06,0.12,0.13,0.21,0.28,0.24,0.32,0.34,0.44,0.46,0.59,0.51,0.58
46,animals,puppy,0.22,0.21,0.41,0.5,0.48,0.54,0.64,0.71,0.73,0.78,0.83,0.77,0.9,0.84,0.93
47,animals,rooster,0.02,0.02,0.05,0.09,0.11,0.15,0.21,0.24,0.32,0.35,0.43,0.48,0.62,0.44,0.61
48,animals,sheep,0.08,0.11,0.22,0.32,0.32,0.34,0.45,0.52,0.6,0.66,0.7,0.68,0.85,0.72,0.85
49,animals,squirrel,0.05,0.06,0.17,0.2,0.24,0.27,0.36,0.42,0.49,0.55,0.58,0.64,0.75,0.73,0.8
50,animals,teddybear,0.15,0.12,0.23,0.32,0.32,0.34,0.48,0.57,0.54,0.67,0.7,0.71,0.87,0.8,0.85
51,animals,tiger,0.08,0.09,0.19,0.24,0.25,0.29,0.42,0.53,0.57,0.59,0.68,0.69,0.84,0.75,0.88
52,animals,turkey,0.04,0.03,0.09,0.16,0.17,0.21,0.32,0.32,0.4,0.45,0.5,0.5,0.66,0.56,0.72
53,animals,turtle,0.11,0.13,0.25,0.33,0.35,0.39,0.47,0.58,0.66,0.69,0.69,0.7,0.88,0.82,0.91
54,animals,wolf,0.02,0.01,0.08,0.06,0.09,0.11,0.13,0.23,0.28,0.32,0.39,0.39,0.57,0.43,0.58
55,animals,zebra,0.04,0.08,0.15,0.2,0.22,0.22,0.35,0.43,0.49,0.51,0.62,0.57,0.78,0.69,0.81
56,vehicles,airplane,0.22,0.21,0.41,0.49,0.54,0.56,0.69,0.75,0.78,0.84,0.89,0.92,0.96,0.91,0.97
