"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"54.0","308","119","173","385725","black",2.07918124604762
"57.0","388","44","182","113300","black",1.65321251377534
"60.0","286","23","120","80352","black",1.38021124171161
"63.0","143","7","108","48940","black",0.903089986991944
"66.0","267","14","157","52266","black",1.17609125905568
"69.0","99","4","117","40283","black",0.698970004336019
"12","448","7","180","15597","blue",0.903089986991944
"15.0","2626","88","87","33500","blue",1.94939000664491
"18.0","1275","108","243","84684","blue",2.03742649794062
"21.0","1568","258","297","164518","blue",2.41329976408125
"24.0","1958","557","456","284427","blue",2.74663419893758
"27.0","1541","621","616","402831","blue",2.79379038469082
"30.0","1153","469","486","406497","blue",2.67209785793572
"33.0","857","285","361","332325","blue",2.45636603312904
"36.0","1338","324","250","242145","blue",2.51188336097887
"39.0","560","106","236","189088","blue",2.02938377768521
"42.0","835","131","215","156791","blue",2.12057393120585
"45.0","728","114","249","156558","blue",2.06069784035361
"48.0","768","108","221","140589","blue",2.03742649794062
"51.0","673","76","154","112895","blue",1.88649072517248
"54.0","489","189","173","385725","blue",2.27875360095283
"57.0","432","49","182","113300","blue",1.69897000433602
"60.0","846","68","120","80352","blue",1.83884909073726
"63.0","715","35","108","48940","blue",1.55630250076729
"66.0","688","36","157","52266","blue",1.56820172406699
"69.0","322","13","117","40283","blue",1.14612803567824
"12","0","0","180","15597","broken",0
"15.0","507","17","87","33500","broken",1.25527250510331
"18.0","495","42","243","84684","broken",1.63346845557959
"21.0","929","153","297","164518","broken",2.18752072083646
"24.0","773","220","456","284427","broken",2.34439227368511
"27.0","565","228","616","402831","broken",2.35983548233989
"30.0","487","198","486","406497","broken",2.29885307640971
"33.0","487","162","361","332325","broken",2.21218760440396
"36.0","289","70","250","242145","broken",1.85125834871908
"39.0","370","70","236","189088","broken",1.85125834871908
"42.0","242","38","215","156791","broken",1.5910646070265
"45.0","134","21","249","156558","broken",1.34242268082221
"48.0","234","33","221","140589","broken",1.53147891704226
"51.0","168","19","154","112895","broken",1.30102999566398
"54.0","139","54","173","385725","broken",1.74036268949424
