"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"27.0","42","17","616","402831","squirrel",1.25527250510331
"30.0","51","21","486","406497","squirrel",1.34242268082221
"33.0","36","12","361","332325","squirrel",1.11394335230684
"36.0","53","13","250","242145","squirrel",1.14612803567824
"39.0","10","2","236","189088","squirrel",0.477121254719662
"42.0","12","2","215","156791","squirrel",0.477121254719662
"45.0","0","0","249","156558","squirrel",0
"48.0","0","0","221","140589","squirrel",0
"51.0","17","2","154","112895","squirrel",0.477121254719662
"54.0","18","7","173","385725","squirrel",0.903089986991944
"57.0","61","7","182","113300","squirrel",0.903089986991944
"60.0","0","0","120","80352","squirrel",0
"63.0","0","0","108","48940","squirrel",0
"66.0","0","0","157","52266","squirrel",0
"69.0","49","2","117","40283","squirrel",0.477121254719662
"12","0","0","180","15597","stairs",0
"15.0","149","5","87","33500","stairs",0.778151250383644
"18.0","330","28","243","84684","stairs",1.46239799789896
"21.0","91","15","297","164518","stairs",1.20411998265592
"24.0","123","35","456","284427","stairs",1.55630250076729
"27.0","139","56","616","402831","stairs",1.75587485567249
"30.0","73","30","486","406497","stairs",1.49136169383427
"33.0","75","25","361","332325","stairs",1.41497334797082
"36.0","61","15","250","242145","stairs",1.20411998265592
"39.0","95","18","236","189088","stairs",1.27875360095283
"42.0","57","9","215","156791","stairs",1
"45.0","95","15","249","156558","stairs",1.20411998265592
"48.0","92","13","221","140589","stairs",1.14612803567824
"51.0","62","7","154","112895","stairs",0.903089986991944
"54.0","72","28","173","385725","stairs",1.46239799789896
"57.0","97","11","182","113300","stairs",1.07918124604762
"60.0","248","20","120","80352","stairs",1.32221929473392
"63.0","20","1","108","48940","stairs",0.301029995663981
"66.0","191","10","157","52266","stairs",1.04139268515823
"69.0","198","8","117","40283","stairs",0.954242509439325
"12","448","7","180","15597","star",0.903089986991944
"15.0","179","6","87","33500","star",0.845098040014257
"18.0","141","12","243","84684","star",1.11394335230684
"21.0","285","47","297","164518","star",1.68124123737559
"24.0","253","72","456","284427","star",1.86332286012046
"27.0","223","90","616","402831","star",1.95904139232109
"30.0","103","42","486","406497","star",1.63346845557959
"33.0","108","36","361","332325","star",1.56820172406699
"36.0","86","21","250","242145","star",1.34242268082221
"39.0","475","90","236","189088","star",1.95904139232109
"42.0","369","58","215","156791","star",1.77085201164214
"45.0","102","16","249","156558","star",1.23044892137827
"48.0","71","10","221","140589","star",1.04139268515823
"51.0","186","21","154","112895","star",1.34242268082221
"54.0","82","32","173","385725","star",1.51851393987789
"57.0","114","13","182","113300","star",1.14612803567824
"60.0","87","7","120","80352","star",0.903089986991944
"63.0","61","3","108","48940","star",0.602059991327962
"66.0","38","2","157","52266","star",0.477121254719662
"69.0","74","3","117","40283","star",0.602059991327962
"12","64","1","180","15597","stick",0.301029995663981
"15.0","119","4","87","33500","stick",0.698970004336019
"18.0","59","5","243","84684","stick",0.778151250383644
"21.0","127","21","297","164518","stick",1.34242268082221
"24.0","165","47","456","284427","stick",1.68124123737559
"27.0","191","77","616","402831","stick",1.89209460269048
"30.0","209","85","486","406497","stick",1.93449845124357
"33.0","138","46","361","332325","stick",1.67209785793572
"36.0","379","92","250","242145","stick",1.96848294855394
"39.0","126","24","236","189088","stick",1.39794000867204
"42.0","267","42","215","156791","stick",1.63346845557959
"45.0","261","41","249","156558","stick",1.6232492903979
"48.0","149","21","221","140589","stick",1.34242268082221
"51.0","159","18","154","112895","stick",1.27875360095283
"54.0","204","79","173","385725","stick",1.90308998699194
"57.0","238","27","182","113300","stick",1.44715803134222
"60.0","348","28","120","80352","stick",1.46239799789896
"63.0","674","33","108","48940","stick",1.53147891704226
"66.0","1147","60","157","52266","stick",1.78532983501077
"69.0","794","32","117","40283","stick",1.51851393987789
"12","0","0","180","15597","stone",0
"15.0","0","0","87","33500","stone",0
"18.0","0","0","243","84684","stone",0
"21.0","218","36","297","164518","stone",1.56820172406699
"24.0","80","23","456","284427","stone",1.38021124171161
"27.0","54","22","616","402831","stone",1.36172783601759
"30.0","17","7","486","406497","stone",0.903089986991944
"33.0","36","12","361","332325","stone",1.11394335230684
"36.0","57","14","250","242145","stone",1.17609125905568
"39.0","10","2","236","189088","stone",0.477121254719662
"42.0","229","36","215","156791","stone",1.56820172406699
"45.0","57","9","249","156558","stone",1
"48.0","7","1","221","140589","stone",0.301029995663981
"51.0","0","0","154","112895","stone",0
"54.0","25","10","173","385725","stone",1.04139268515823
"57.0","8","1","182","113300","stone",0.301029995663981
"60.0","0","0","120","80352","stone",0
"63.0","40","2","108","48940","stone",0.477121254719662
"66.0","19","1","157","52266","stone",0.301029995663981
"69.0","0","0","117","40283","stone",0
"12","128","2","180","15597","store",0.477121254719662
"15.0","0","0","87","33500","store",0
"18.0","35","3","243","84684","store",0.602059991327962
"21.0","121","20","297","164518","store",1.32221929473392
"24.0","70","20","456","284427","store",1.32221929473392
"27.0","191","77","616","402831","store",1.89209460269048
"30.0","174","71","486","406497","store",1.85733249643127
"33.0","204","68","361","332325","store",1.83884909073726
"36.0","363","88","250","242145","store",1.94939000664491
"39.0","275","52","236","189088","store",1.72427586960079
"42.0","440","69","215","156791","store",1.84509804001426
"45.0","210","33","249","156558","store",1.53147891704226
"48.0","533","75","221","140589","store",1.88081359228079
"51.0","363","41","154","112895","store",1.6232492903979
"54.0","152","59","173","385725","store",1.77815125038364
"57.0","194","22","182","113300","store",1.36172783601759
"60.0","99","8","120","80352","store",0.954242509439325
"63.0","163","8","108","48940","store",0.954242509439325
"66.0","153","8","157","52266","store",0.954242509439325
"69.0","198","8","117","40283","store",0.954242509439325
"12","0","0","180","15597","story",0
"15.0","0","0","87","33500","story",0
"18.0","106","9","243","84684","story",1
"21.0","279","46","297","164518","story",1.67209785793572
"24.0","242","69","456","284427","story",1.84509804001426
"27.0","402","162","616","402831","story",2.21218760440396
"30.0","238","97","486","406497","story",1.99122607569249
"33.0","207","69","361","332325","story",1.84509804001426
"36.0","260","63","250","242145","story",1.80617997398389
"39.0","296","56","236","189088","story",1.75587485567249
"42.0","452","71","215","156791","story",1.85733249643127
"45.0","287","45","249","156558","story",1.66275783168157
"48.0","113","16","221","140589","story",1.23044892137827
"51.0","239","27","154","112895","story",1.44715803134222
"54.0","202","78","173","385725","story",1.89762709129044
"57.0","317","36","182","113300","story",1.56820172406699
"60.0","261","21","120","80352","story",1.34242268082221
"63.0","265","13","108","48940","story",1.14612803567824
"66.0","229","12","157","52266","story",1.11394335230684
"69.0","198","8","117","40283","story",0.954242509439325
"12","0","0","180","15597","stove",0
"15.0","238","8","87","33500","stove",0.954242509439325
"18.0","23","2","243","84684","stove",0.477121254719662
"21.0","18","3","297","164518","stove",0.602059991327962
"24.0","35","10","456","284427","stove",1.04139268515823
"27.0","49","20","616","402831","stove",1.32221929473392
"30.0","29","12","486","406497","stove",1.11394335230684
"33.0","21","7","361","332325","stove",0.903089986991944
"36.0","49","12","250","242145","stove",1.11394335230684
"39.0","68","13","236","189088","stove",1.14612803567824
"42.0","51","8","215","156791","stove",0.954242509439325
"45.0","51","8","249","156558","stove",0.954242509439325
"48.0","71","10","221","140589","stove",1.04139268515823
"51.0","8","1","154","112895","stove",0.301029995663981
"54.0","10","4","173","385725","stove",0.698970004336019
"57.0","70","8","182","113300","stove",0.954242509439325
"60.0","24","2","120","80352","stove",0.477121254719662
"63.0","81","4","108","48940","stove",0.698970004336019
"66.0","57","3","157","52266","stove",0.602059991327962
"69.0","0","0","117","40283","stove",0
"12","0","0","180","15597","strawberry",0
"15.0","0","0","87","33500","strawberry",0
"18.0","59","5","243","84684","strawberry",0.778151250383644
"21.0","212","35","297","164518","strawberry",1.55630250076729
"24.0","151","43","456","284427","strawberry",1.64345267648619
"27.0","136","55","616","402831","strawberry",1.7481880270062
"30.0","123","50","486","406497","strawberry",1.70757017609794
"33.0","114","38","361","332325","strawberry",1.5910646070265
"36.0","33","8","250","242145","strawberry",0.954242509439325
"39.0","26","5","236","189088","strawberry",0.778151250383644
"42.0","51","8","215","156791","strawberry",0.954242509439325
"45.0","102","16","249","156558","strawberry",1.23044892137827
"48.0","120","17","221","140589","strawberry",1.25527250510331
"51.0","35","4","154","112895","strawberry",0.698970004336019
"54.0","31","12","173","385725","strawberry",1.11394335230684
"57.0","61","7","182","113300","strawberry",0.903089986991944
"60.0","74","6","120","80352","strawberry",0.845098040014257
"63.0","224","11","108","48940","strawberry",1.07918124604762
"66.0","57","3","157","52266","strawberry",0.602059991327962
"69.0","223","9","117","40283","strawberry",1
"12","0","0","180","15597","street",0
"15.0","59","2","87","33500","street",0.477121254719662
"18.0","59","5","243","84684","street",0.778151250383644
"21.0","127","21","297","164518","street",1.34242268082221
"24.0","38","11","456","284427","street",1.07918124604762
"27.0","136","55","616","402831","street",1.7481880270062
"30.0","145","59","486","406497","street",1.77815125038364
"33.0","96","32","361","332325","street",1.51851393987789
"36.0","289","70","250","242145","street",1.85125834871908
"39.0","343","65","236","189088","street",1.81954393554187
"42.0","293","46","215","156791","street",1.67209785793572
"45.0","70","11","249","156558","street",1.07918124604762
"48.0","64","9","221","140589","street",1
"51.0","124","14","154","112895","street",1.17609125905568
"54.0","225","87","173","385725","street",1.94448267215017
"57.0","79","9","182","113300","street",1
"60.0","149","12","120","80352","street",1.11394335230684
"63.0","122","6","108","48940","street",0.845098040014257
"66.0","95","5","157","52266","street",0.778151250383644
"69.0","372","15","117","40283","street",1.20411998265592
"12","0","0","180","15597","stroller",0
"15.0","0","0","87","33500","stroller",0
"18.0","0","0","243","84684","stroller",0
"21.0","18","3","297","164518","stroller",0.602059991327962
"24.0","14","4","456","284427","stroller",0.698970004336019
"27.0","14","6","616","402831","stroller",0.845098040014257
"30.0","9","4","486","406497","stroller",0.698970004336019
"33.0","42","14","361","332325","stroller",1.17609125905568
"36.0","53","13","250","242145","stroller",1.14612803567824
"39.0","10","2","236","189088","stroller",0.477121254719662
"42.0","6","1","215","156791","stroller",0.301029995663981
"45.0","0","0","249","156558","stroller",0
"48.0","28","4","221","140589","stroller",0.698970004336019
"51.0","0","0","154","112895","stroller",0
"54.0","0","0","173","385725","stroller",0
"57.0","0","0","182","113300","stroller",0
"60.0","0","0","120","80352","stroller",0
"63.0","0","0","108","48940","stroller",0
"66.0","0","0","157","52266","stroller",0
"69.0","0","0","117","40283","stroller",0
"12","64","1","180","15597","sun",0.301029995663981
"15.0","89","3","87","33500","sun",0.602059991327962
"18.0","165","14","243","84684","sun",1.17609125905568
"21.0","419","69","297","164518","sun",1.84509804001426
"24.0","119","34","456","284427","sun",1.54406804435028
"27.0","161","65","616","402831","sun",1.81954393554187
"30.0","177","72","486","406497","sun",1.86332286012046
"33.0","93","31","361","332325","sun",1.50514997831991
"36.0","264","64","250","242145","sun",1.81291335664286
"39.0","232","44","236","189088","sun",1.65321251377534
"42.0","184","29","215","156791","sun",1.47712125471966
"45.0","249","39","249","156558","sun",1.60205999132796
"48.0","142","20","221","140589","sun",1.32221929473392
"51.0","132","15","154","112895","sun",1.20411998265592
"54.0","129","50","173","385725","sun",1.70757017609794
"57.0","255","29","182","113300","sun",1.47712125471966
"60.0","211","17","120","80352","sun",1.25527250510331
"63.0","224","11","108","48940","sun",1.07918124604762
"66.0","382","20","157","52266","sun",1.32221929473392
"69.0","273","11","117","40283","sun",1.07918124604762
"12","0","0","180","15597","sweater",0
"15.0","0","0","87","33500","sweater",0
"18.0","82","7","243","84684","sweater",0.903089986991944
"21.0","48","8","297","164518","sweater",0.954242509439325
"24.0","59","17","456","284427","sweater",1.25527250510331
"27.0","19","8","616","402831","sweater",0.954242509439325
"30.0","7","3","486","406497","sweater",0.602059991327962
"33.0","6","2","361","332325","sweater",0.477121254719662
"36.0","74","18","250","242145","sweater",1.27875360095283
"39.0","47","9","236","189088","sweater",1
"42.0","0","0","215","156791","sweater",0
"45.0","25","4","249","156558","sweater",0.698970004336019
"48.0","0","0","221","140589","sweater",0
"51.0","8","1","154","112895","sweater",0.301029995663981
"54.0","46","18","173","385725","sweater",1.27875360095283
"57.0","26","3","182","113300","sweater",0.602059991327962
"60.0","62","5","120","80352","sweater",0.778151250383644
"63.0","0","0","108","48940","sweater",0
"66.0","0","0","157","52266","sweater",0
"69.0","0","0","117","40283","sweater",0
"12","0","0","180","15597","table",0
"15.0","238","8","87","33500","table",0.954242509439325
"18.0","850","72","243","84684","table",1.86332286012046
"21.0","595","98","297","164518","table",1.99563519459755
"24.0","404","115","456","284427","table",2.06445798922692
"27.0","466","188","616","402831","table",2.27646180417324
"30.0","307","125","486","406497","table",2.10037054511756
"33.0","327","109","361","332325","table",2.04139268515822
"36.0","425","103","250","242145","table",2.01703333929878
"39.0","354","67","236","189088","table",1.83250891270624
"42.0","433","68","215","156791","table",1.83884909073726
"45.0","191","30","249","156558","table",1.49136169383427
"48.0","234","33","221","140589","table",1.53147891704226
"51.0","203","23","154","112895","table",1.38021124171161
"54.0","254","98","173","385725","table",1.99563519459755
"57.0","432","49","182","113300","table",1.69897000433602
"60.0","448","36","120","80352","table",1.56820172406699
"63.0","592","29","108","48940","table",1.47712125471966
"66.0","325","17","157","52266","table",1.25527250510331
"69.0","297","12","117","40283","table",1.11394335230684
"12","128","2","180","15597","tape",0.477121254719662
"15.0","358","12","87","33500","tape",1.11394335230684
"18.0","1239","105","243","84684","tape",2.02530586526477
"21.0","1525","251","297","164518","tape",2.40140054078154
"24.0","1191","339","456","284427","tape",2.53147891704225
"27.0","419","169","616","402831","tape",2.23044892137827
"30.0","243","99","486","406497","tape",2
"33.0","321","107","361","332325","tape",2.03342375548695
"36.0","532","129","250","242145","tape",2.11394335230684
"39.0","317","60","236","189088","tape",1.78532983501077
"42.0","331","52","215","156791","tape",1.72427586960079
"45.0","281","44","249","156558","tape",1.65321251377534
"48.0","277","39","221","140589","tape",1.60205999132796
"51.0","416","47","154","112895","tape",1.68124123737559
"54.0","575","222","173","385725","tape",2.34830486304816
"57.0","211","24","182","113300","tape",1.39794000867204
"60.0","174","14","120","80352","tape",1.17609125905568
"63.0","143","7","108","48940","tape",0.903089986991944
"66.0","325","17","157","52266","tape",1.25527250510331
"69.0","173","7","117","40283","tape",0.903089986991944
"12","0","0","180","15597","teacher",0
"15.0","89","3","87","33500","teacher",0.602059991327962
"18.0","82","7","243","84684","teacher",0.903089986991944
"21.0","0","0","297","164518","teacher",0
"24.0","21","6","456","284427","teacher",0.845098040014257
"27.0","32","13","616","402831","teacher",1.14612803567824
"30.0","31","13","486","406497","teacher",1.14612803567824
"33.0","84","28","361","332325","teacher",1.46239799789896
"36.0","132","32","250","242145","teacher",1.51851393987789
"39.0","100","19","236","189088","teacher",1.30102999566398
"42.0","82","13","215","156791","teacher",1.14612803567824
"45.0","140","22","249","156558","teacher",1.36172783601759
"48.0","120","17","221","140589","teacher",1.25527250510331
"51.0","239","27","154","112895","teacher",1.44715803134222
"54.0","279","108","173","385725","teacher",2.03742649794062
"57.0","273","31","182","113300","teacher",1.50514997831991
"60.0","136","11","120","80352","teacher",1.07918124604762
"63.0","102","5","108","48940","teacher",0.778151250383644
"66.0","248","13","157","52266","teacher",1.14612803567824
"69.0","148","6","117","40283","teacher",0.845098040014257
"12","0","0","180","15597","tiger",0
"15.0","0","0","87","33500","tiger",0
"18.0","366","31","243","84684","tiger",1.50514997831991
"21.0","553","91","297","164518","tiger",1.96378782734556
"24.0","632","180","456","284427","tiger",2.25767857486918
"27.0","362","146","616","402831","tiger",2.16731733474818
"30.0","425","173","486","406497","tiger",2.2405492482826
"33.0","309","103","361","332325","tiger",2.01703333929878
"36.0","260","63","250","242145","tiger",1.80617997398389
"39.0","58","11","236","189088","tiger",1.07918124604762
"42.0","82","13","215","156791","tiger",1.14612803567824
"45.0","76","12","249","156558","tiger",1.11394335230684
"48.0","227","32","221","140589","tiger",1.51851393987789
"51.0","265","30","154","112895","tiger",1.49136169383427
"54.0","67","26","173","385725","tiger",1.43136376415899
"57.0","291","33","182","113300","tiger",1.53147891704226
"60.0","945","76","120","80352","tiger",1.88649072517248
"63.0","204","10","108","48940","tiger",1.04139268515823
"66.0","440","23","157","52266","tiger",1.38021124171161
"69.0","372","15","117","40283","tiger",1.20411998265592
"12","0","0","180","15597","tights",0
"15.0","0","0","87","33500","tights",0
"18.0","35","3","243","84684","tights",0.602059991327962
"21.0","6","1","297","164518","tights",0.301029995663981
"24.0","0","0","456","284427","tights",0
"27.0","17","7","616","402831","tights",0.903089986991944
"30.0","9","4","486","406497","tights",0.698970004336019
"33.0","9","3","361","332325","tights",0.602059991327962
"36.0","4","1","250","242145","tights",0.301029995663981
"39.0","10","2","236","189088","tights",0.477121254719662
"42.0","0","0","215","156791","tights",0
"45.0","19","3","249","156558","tights",0.602059991327962
"48.0","7","1","221","140589","tights",0.301029995663981
"51.0","17","2","154","112895","tights",0.477121254719662
"54.0","0","0","173","385725","tights",0
"57.0","0","0","182","113300","tights",0
"60.0","0","0","120","80352","tights",0
"63.0","0","0","108","48940","tights",0
"66.0","0","0","157","52266","tights",0
"69.0","0","0","117","40283","tights",0
"12","0","0","180","15597","time",0
"15.0","0","0","87","33500","time",0
"18.0","106","9","243","84684","time",1
"21.0","273","45","297","164518","time",1.66275783168157
"24.0","513","146","456","284427","time",2.16731733474818
"27.0","436","176","616","402831","time",2.24797326636181
"30.0","514","209","486","406497","time",2.32221929473392
"33.0","613","204","361","332325","time",2.31175386105575
"36.0","813","197","250","242145","time",2.29666519026153
"39.0","978","185","236","189088","time",2.26951294421792
"42.0","1020","160","215","156791","time",2.20682587603185
"45.0","1156","181","249","156558","time",2.26007138798507
"48.0","1202","169","221","140589","time",2.23044892137827
"51.0","1390","157","154","112895","time",2.19865708695442
"54.0","1298","501","173","385725","time",2.70070371714502
"57.0","1632","185","182","113300","time",2.26951294421792
"60.0","1306","105","120","80352","time",2.02530586526477
"63.0","1348","66","108","48940","time",1.82607480270083
"66.0","1377","72","157","52266","time",1.86332286012046
"69.0","1241","50","117","40283","time",1.70757017609794
"12","64","1","180","15597","tissue",0.301029995663981
"15.0","149","5","87","33500","tissue",0.778151250383644
"18.0","23","2","243","84684","tissue",0.477121254719662
"21.0","60","10","297","164518","tissue",1.04139268515823
"24.0","84","24","456","284427","tissue",1.39794000867204
"27.0","62","25","616","402831","tissue",1.41497334797082
"30.0","36","15","486","406497","tissue",1.20411998265592
"33.0","33","11","361","332325","tissue",1.07918124604762
"36.0","37","9","250","242145","tissue",1
"39.0","5","1","236","189088","tissue",0.301029995663981
"42.0","6","1","215","156791","tissue",0.301029995663981
"45.0","6","1","249","156558","tissue",0.301029995663981
"48.0","7","1","221","140589","tissue",0.301029995663981
"51.0","0","0","154","112895","tissue",0
"54.0","64","25","173","385725","tissue",1.41497334797082
"57.0","26","3","182","113300","tissue",0.602059991327962
"60.0","0","0","120","80352","tissue",0
"63.0","0","0","108","48940","tissue",0
"66.0","0","0","157","52266","tissue",0
"69.0","24","1","117","40283","tissue",0.301029995663981
"12","0","0","180","15597","toast",0
"15.0","238","8","87","33500","toast",0.954242509439325
"18.0","354","30","243","84684","toast",1.49136169383427
"21.0","431","71","297","164518","toast",1.85733249643127
"24.0","151","43","456","284427","toast",1.64345267648619
"27.0","146","59","616","402831","toast",1.77815125038364
"30.0","145","59","486","406497","toast",1.77815125038364
"33.0","81","27","361","332325","toast",1.44715803134222
"36.0","74","18","250","242145","toast",1.27875360095283
"39.0","63","12","236","189088","toast",1.11394335230684
"42.0","165","26","215","156791","toast",1.43136376415899
"45.0","242","38","249","156558","toast",1.5910646070265
"48.0","71","10","221","140589","toast",1.04139268515823
"51.0","79","9","154","112895","toast",1
"54.0","124","48","173","385725","toast",1.69019608002851
"57.0","114","13","182","113300","toast",1.14612803567824
"60.0","24","2","120","80352","toast",0.477121254719662
"63.0","61","3","108","48940","toast",0.602059991327962
"66.0","19","1","157","52266","toast",0.301029995663981
"69.0","74","3","117","40283","toast",0.602059991327962
"12","256","4","180","15597","today",0.698970004336019
"15.0","0","0","87","33500","today",0
"18.0","318","27","243","84684","today",1.44715803134222
"21.0","24","4","297","164518","today",0.698970004336019
"24.0","98","28","456","284427","today",1.46239799789896
"27.0","109","44","616","402831","today",1.65321251377534
"30.0","277","113","486","406497","today",2.05690485133647
"33.0","385","128","361","332325","today",2.11058971029925
"36.0","235","57","250","242145","today",1.76342799356294
"39.0","275","52","236","189088","today",1.72427586960079
"42.0","440","69","215","156791","today",1.84509804001426
"45.0","453","71","249","156558","today",1.85733249643127
"48.0","398","56","221","140589","today",1.75587485567249
"51.0","584","66","154","112895","today",1.82607480270083
"54.0","528","204","173","385725","today",2.31175386105575
"57.0","617","70","182","113300","today",1.85125834871908
"60.0","311","25","120","80352","today",1.41497334797082
"63.0","265","13","108","48940","today",1.14612803567824
"66.0","363","19","157","52266","today",1.30102999566398
"69.0","670","27","117","40283","today",1.44715803134222
"12","128","2","180","15597","toe",0.477121254719662
"15.0","179","6","87","33500","toe",0.845098040014257
"18.0","94","8","243","84684","toe",0.954242509439325
"21.0","66","11","297","164518","toe",1.07918124604762
"24.0","207","59","456","284427","toe",1.77815125038364
"27.0","62","25","616","402831","toe",1.41497334797082
"30.0","154","63","486","406497","toe",1.80617997398389
"33.0","60","20","361","332325","toe",1.32221929473392
"36.0","53","13","250","242145","toe",1.14612803567824
"39.0","211","40","236","189088","toe",1.61278385671974
"42.0","95","15","215","156791","toe",1.20411998265592
"45.0","83","13","249","156558","toe",1.14612803567824
"48.0","106","15","221","140589","toe",1.20411998265592
"51.0","70","8","154","112895","toe",0.954242509439325
"54.0","93","36","173","385725","toe",1.56820172406699
"57.0","26","3","182","113300","toe",0.602059991327962
"60.0","211","17","120","80352","toe",1.25527250510331
"63.0","20","1","108","48940","toe",0.301029995663981
"66.0","19","1","157","52266","toe",0.301029995663981
"69.0","0","0","117","40283","toe",0
"12","0","0","180","15597","tomorrow",0
"15.0","0","0","87","33500","tomorrow",0
"18.0","35","3","243","84684","tomorrow",0.602059991327962
"21.0","24","4","297","164518","tomorrow",0.698970004336019
"24.0","80","23","456","284427","tomorrow",1.38021124171161
"27.0","91","37","616","402831","tomorrow",1.57978359661681
"30.0","135","55","486","406497","tomorrow",1.7481880270062
"33.0","180","60","361","332325","tomorrow",1.78532983501077
"36.0","198","48","250","242145","tomorrow",1.69019608002851
"39.0","153","29","236","189088","tomorrow",1.47712125471966
"42.0","191","30","215","156791","tomorrow",1.49136169383427
"45.0","312","49","249","156558","tomorrow",1.69897000433602
"48.0","291","41","221","140589","tomorrow",1.6232492903979
"51.0","168","19","154","112895","tomorrow",1.30102999566398
"54.0","318","123","173","385725","tomorrow",2.09342168516224
"57.0","229","26","182","113300","tomorrow",1.43136376415899
"60.0","124","10","120","80352","tomorrow",1.04139268515823
"63.0","183","9","108","48940","tomorrow",1
"66.0","210","11","157","52266","tomorrow",1.07918124604762
"69.0","322","13","117","40283","tomorrow",1.14612803567824
"12","0","0","180","15597","tongue",0
"15.0","59","2","87","33500","tongue",0.477121254719662
"18.0","59","5","243","84684","tongue",0.778151250383644
"21.0","12","2","297","164518","tongue",0.477121254719662
"24.0","84","24","456","284427","tongue",1.39794000867204
"27.0","29","12","616","402831","tongue",1.11394335230684
"30.0","51","21","486","406497","tongue",1.34242268082221
"33.0","57","19","361","332325","tongue",1.30102999566398
"36.0","94","23","250","242145","tongue",1.38021124171161
"39.0","63","12","236","189088","tongue",1.11394335230684
"42.0","38","6","215","156791","tongue",0.845098040014257
"45.0","51","8","249","156558","tongue",0.954242509439325
"48.0","71","10","221","140589","tongue",1.04139268515823
"51.0","62","7","154","112895","tongue",0.903089986991944
"54.0","57","22","173","385725","tongue",1.36172783601759
"57.0","0","0","182","113300","tongue",0
"60.0","49","4","120","80352","tongue",0.698970004336019
"63.0","224","11","108","48940","tongue",1.07918124604762
"66.0","19","1","157","52266","tongue",0.301029995663981
"69.0","49","2","117","40283","tongue",0.477121254719662
"12","0","0","180","15597","tonight",0
"15.0","0","0","87","33500","tonight",0
"18.0","11","1","243","84684","tonight",0.301029995663981
"21.0","18","3","297","164518","tonight",0.602059991327962
"24.0","14","4","456","284427","tonight",0.698970004336019
"27.0","32","13","616","402831","tonight",1.14612803567824
"30.0","29","12","486","406497","tonight",1.11394335230684
"33.0","63","21","361","332325","tonight",1.34242268082221
"36.0","78","19","250","242145","tonight",1.30102999566398
"39.0","63","12","236","189088","tonight",1.11394335230684
"42.0","102","16","215","156791","tonight",1.23044892137827
"45.0","121","19","249","156558","tonight",1.30102999566398
"48.0","120","17","221","140589","tonight",1.25527250510331
"51.0","159","18","154","112895","tonight",1.27875360095283
"54.0","93","36","173","385725","tonight",1.56820172406699
"57.0","176","20","182","113300","tonight",1.32221929473392
"60.0","24","2","120","80352","tonight",0.477121254719662
"63.0","122","6","108","48940","tonight",0.845098040014257
"66.0","133","7","157","52266","tonight",0.903089986991944
"69.0","24","1","117","40283","tonight",0.301029995663981
"12","64","1","180","15597","tooth",0.301029995663981
"15.0","0","0","87","33500","tooth",0
"18.0","0","0","243","84684","tooth",0
"21.0","6","1","297","164518","tooth",0.301029995663981
"24.0","0","0","456","284427","tooth",0
"27.0","24","10","616","402831","tooth",1.04139268515823
"30.0","34","14","486","406497","tooth",1.17609125905568
"33.0","33","11","361","332325","tooth",1.07918124604762
"36.0","70","17","250","242145","tooth",1.25527250510331
"39.0","63","12","236","189088","tooth",1.11394335230684
"42.0","76","12","215","156791","tooth",1.11394335230684
"45.0","51","8","249","156558","tooth",0.954242509439325
"48.0","49","7","221","140589","tooth",0.903089986991944
"51.0","8","1","154","112895","tooth",0.301029995663981
"54.0","33","13","173","385725","tooth",1.14612803567824
"57.0","26","3","182","113300","tooth",0.602059991327962
"60.0","186","15","120","80352","tooth",1.20411998265592
"63.0","20","1","108","48940","tooth",0.301029995663981
"66.0","57","3","157","52266","tooth",0.602059991327962
"69.0","198","8","117","40283","tooth",0.954242509439325
"12","384","6","180","15597","top",0.845098040014257
"15.0","388","13","87","33500","top",1.14612803567824
"18.0","614","52","243","84684","top",1.72427586960079
"21.0","540","89","297","164518","top",1.95424250943932
"24.0","734","209","456","284427","top",2.32221929473392
"27.0","682","275","616","402831","top",2.44090908206522
"30.0","597","243","486","406497","top",2.38738982633873
"33.0","595","198","361","332325","top",2.29885307640971
"36.0","462","112","250","242145","top",2.05307844348342
"39.0","417","79","236","189088","top",1.90308998699194
"42.0","427","67","215","156791","top",1.83250891270624
"45.0","210","33","249","156558","top",1.53147891704226
"48.0","320","45","221","140589","top",1.66275783168157
"51.0","380","43","154","112895","top",1.64345267648619
"54.0","303","117","173","385725","top",2.07188200730613
"57.0","467","53","182","113300","top",1.73239375982297
"60.0","373","30","120","80352","top",1.49136169383427
"63.0","347","17","108","48940","top",1.25527250510331
"66.0","267","14","157","52266","top",1.17609125905568
"69.0","297","12","117","40283","top",1.11394335230684
"12","0","0","180","15597","towel",0
"15.0","29","1","87","33500","towel",0.301029995663981
"18.0","330","28","243","84684","towel",1.46239799789896
"21.0","309","51","297","164518","towel",1.7160033436348
"24.0","98","28","456","284427","towel",1.46239799789896
"27.0","109","44","616","402831","towel",1.65321251377534
"30.0","83","34","486","406497","towel",1.54406804435028
"33.0","78","26","361","332325","towel",1.43136376415899
"36.0","45","11","250","242145","towel",1.07918124604762
"39.0","37","7","236","189088","towel",0.903089986991944
"42.0","44","7","215","156791","towel",0.903089986991944
"45.0","31","5","249","156558","towel",0.778151250383644
"48.0","35","5","221","140589","towel",0.778151250383644
"51.0","17","2","154","112895","towel",0.477121254719662
"54.0","38","15","173","385725","towel",1.20411998265592
"57.0","70","8","182","113300","towel",0.954242509439325
"60.0","37","3","120","80352","towel",0.602059991327962
"63.0","0","0","108","48940","towel",0
"66.0","19","1","157","52266","towel",0.301029995663981
